,country,population,life_expectancy,gdp_per_capita,region
0,Afghanistan,38.9,64.4,1800,Asia
1,Albania,2.88,78.6,13200,Europe
2,Algeria,43.9,78.3,14000,Africa
3,Angola,32.9,65.4,5440,Africa
4,Antigua and Barbuda,0.0979,77.4,25000,Americas
5,Argentina,45.2,77.1,17100,Americas
6,Armenia,2.96,76.0,10200,Asia
7,Australia,25.5,82.8,45800,Oceania
8,Austria,9.01,82.1,47300,Europe
9,Azerbaijan,10.1,71.2,16400,Asia
10,Bahamas,0.393,74.2,28300,Americas
11,Bahrain,1.7,79.9,42000,Asia
12,Bangladesh,165.0,73.9,4400,Asia
13,Barbados,0.287,77.5,16700,Americas
14,Belarus,9.45,74.6,18200,Europe
15,Belgium,11.6,81.9,43900,Europe
16,Belize,0.398,74.5,7780,Americas
17,Benin,12.1,65.6,2310,Africa
18,Bhutan,0.772,75.0,10200,Asia
19,Bosnia and Herzegovina,3.28,77.1,13500,Europe
20,Botswana,2.35,70.0,17200,Africa
21,Brazil,213.0,76.1,14500,Americas
22,Bulgaria,6.95,75.2,20900,Europe
23,Burkina Faso,20.9,62.9,1860,Africa
24,Burundi,11.9,62.6,628,Africa
25,Cambodia,16.7,70.7,4290,Asia
26,Cameroon,26.5,64.2,3460,Africa
27,Canada,37.7,82.3,44500,Americas
28,Central African Republic,4.83,53.3,817,Africa
29,Chad,16.4,60.9,1790,Africa
30,Chile,19.1,80.1,23300,Americas
31,China,1440.0,77.7,18100,Asia
32,Colombia,50.9,80.7,14000,Americas
33,Comoros,0.87,69.3,2520,Africa
34,Costa Rica,5.09,80.0,16000,Americas
35,Croatia,4.11,79.0,25300,Europe
36,Cuba,11.3,78.6,8370,Americas
37,Cyprus,1.21,82.2,35100,Asia
38,Denmark,5.79,81.1,48900,Europe
39,Djibouti,0.988,69.0,3710,Africa
40,Dominican Republic,10.8,73.7,17100,Americas
41,Ecuador,17.6,77.4,10100,Americas
42,Egypt,102.0,71.1,11800,Africa
43,El Salvador,6.49,74.7,7610,Americas
44,Equatorial Guinea,1.4,66.6,17700,Africa
45,Eritrea,3.55,63.8,1420,Africa
46,Estonia,1.33,78.6,32900,Europe
47,Eswatini,1.16,62.4,9510,Africa
48,Ethiopia,115.0,69.5,2000,Africa
49,Fiji,0.896,68.4,10200,Oceania
50,Finland,5.54,81.9,42900,Europe
51,France,65.3,83.2,40400,Europe
52,Gabon,2.23,69.3,16500,Africa
53,Gambia,2.42,66.8,1620,Africa
54,Georgia,3.99,73.3,11300,Asia
55,Germany,83.8,81.1,46700,Europe
56,Ghana,31.1,66.4,4590,Africa
57,Greece,10.4,81.5,26300,Europe
58,Grenada,0.113,74.2,14700,Americas
59,Guatemala,17.9,73.3,7720,Americas
60,Guinea,13.1,62.0,2500,Africa
61,Guinea-Bissau,1.97,61.0,1680,Africa
62,Guyana,0.787,69.6,8200,Americas
63,Haiti,11.4,66.0,1640,Americas
64,Honduras,9.9,74.5,4720,Americas
65,Hungary,9.66,77.3,30600,Europe
66,Iceland,0.341,83.2,47700,Europe
67,India,1380.0,69.7,7630,Asia
68,Indonesia,274.0,72.1,12500,Asia
69,Iraq,40.2,77.2,16000,Asia
70,Ireland,4.94,82.5,74100,Europe
71,Israel,8.66,83.4,34400,Asia
72,Italy,60.5,83.6,36100,Europe
73,Jamaica,2.96,75.0,8350,Americas
74,Japan,126.0,84.7,40100,Asia
75,Jordan,10.2,79.7,8440,Asia
76,Kazakhstan,18.8,73.1,26000,Asia
77,Kenya,53.8,66.9,3260,Africa
78,Kiribati,0.119,63.1,2060,Oceania
79,Kuwait,4.27,83.4,64300,Asia
80,Latvia,1.89,75.5,28100,Europe
81,Lebanon,6.83,78.1,11900,Asia
82,Lesotho,2.14,56.6,2900,Africa
83,Liberia,5.06,65.5,1130,Africa
84,Libya,6.87,73.5,14600,Africa
85,Lithuania,2.72,75.6,33500,Europe
86,Luxembourg,0.626,82.1,95100,Europe
87,Madagascar,27.7,64.5,1520,Africa
88,Malawi,19.1,64.6,1210,Africa
89,Malaysia,32.4,75.2,30000,Asia
90,Maldives,0.541,82.4,14900,Asia
91,Mali,20.3,63.3,2140,Africa
92,Malta,0.442,81.5,40400,Europe
93,Mauritania,4.65,71.3,4030,Africa
94,Mauritius,1.27,75.2,22700,Africa
95,Mexico,129.0,75.7,18100,Americas
96,Mongolia,3.28,69.5,13200,Asia
97,Montenegro,0.628,76.8,18200,Europe
98,Morocco,36.9,74.6,7980,Africa
99,Mozambique,31.3,60.4,1210,Africa
100,Myanmar,54.4,69.3,6620,Asia
101,Namibia,2.54,67.6,9660,Africa
102,Nepal,29.1,71.8,3020,Asia
103,Netherlands,17.1,81.9,51200,Europe
104,New Zealand,4.82,82.1,36700,Oceania
105,Nicaragua,6.62,79.5,4530,Americas
106,Niger,24.2,63.6,974,Africa
107,Nigeria,206.0,65.6,5300,Africa
108,North Macedonia,2.08,76.9,14400,Europe
109,Norway,5.42,82.7,67500,Europe
110,Oman,5.11,77.8,36000,Asia
111,Pakistan,221.0,67.3,5020,Asia
112,Panama,4.31,79.8,24300,Americas
113,Papua New Guinea,8.95,59.1,3950,Oceania
114,Paraguay,7.13,76.5,12300,Americas
115,Peru,33.0,81.0,13300,Americas
116,Philippines,110.0,70.1,8640,Asia
117,Poland,37.8,78.5,30900,Europe
118,Portugal,10.2,82.0,29800,Europe
119,Qatar,2.88,80.6,116000,Asia
120,Romania,19.2,75.6,26400,Europe
121,Rwanda,13.0,69.5,2230,Africa
122,Samoa,0.198,73.3,6460,Oceania
123,Sao Tome and Principe,0.219,67.5,3090,Africa
124,Saudi Arabia,34.8,77.3,48200,Asia
125,Senegal,16.7,68.9,3590,Africa
126,Serbia,8.74,76.2,17400,Europe
127,Seychelles,0.0983,73.8,28500,Africa
128,Sierra Leone,7.98,61.7,1500,Africa
129,Singapore,5.85,85.3,90500,Asia
130,Slovenia,2.08,81.6,34600,Europe
131,Solomon Islands,0.687,69.0,2170,Oceania
132,Somalia,15.9,59.5,633,Africa
133,South Africa,59.3,67.2,12000,Africa
134,South Sudan,11.2,60.0,1950,Africa
135,Spain,46.8,83.5,36200,Europe
136,Sri Lanka,21.4,78.0,12400,Asia
137,Sudan,43.8,71.0,4540,Africa
138,Suriname,0.587,72.4,14100,Americas
139,Sweden,10.1,82.9,47400,Europe
140,Switzerland,8.65,84.4,59100,Europe
141,Tajikistan,9.54,71.0,3230,Asia
142,Thailand,69.8,78.8,17900,Asia
143,Timor-Leste,1.32,71.5,7010,Asia
144,Togo,8.28,65.3,1650,Africa
145,Tonga,0.106,72.1,6130,Oceania
146,Trinidad and Tobago,1.4,74.6,28800,Americas
147,Tunisia,11.8,78.9,11300,Africa
148,Turkey,84.3,79.7,25500,Asia
149,Turkmenistan,6.03,70.5,18500,Asia
150,Uganda,45.7,67.0,1920,Africa
151,Ukraine,43.7,70.9,8770,Europe
152,United Arab Emirates,9.89,73.8,65300,Asia
153,Uruguay,3.47,77.5,21300,Americas
154,Uzbekistan,33.5,70.8,6790,Asia
155,Vanuatu,0.307,65.1,2910,Oceania
156,Yemen,29.8,68.2,2330,Asia
157,Zambia,18.4,64.3,3650,Africa
158,Zimbabwe,14.9,62.3,2410,Africa
